Rep,1,2,3,4,5,6,7,8,9,10,11,12,13,14
60,25,,,,,,,,,,,,,
59,24,25.0,,,,,,,,,,,,
58,24,24.0,25.0,,,,,,,,,,,
57,24,24.0,24.0,25.0,,,,,,,,,,
56,23,24.0,24.0,24.0,25.0,,,,,,,,,
55,23,23.0,24.0,24.0,24.0,25.0,,,,,,,,
54,23,23.0,23.0,24.0,24.0,24.0,25.0,,,,,,,
53,23,23.0,23.0,23.0,23.0,24.0,24.0,25.0,,,,,,
52,22,23.0,23.0,23.0,23.0,23.0,24.0,24.0,,,,,,
51,22,22.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,,,,,
50,22,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0,,,,,
49,22,22.0,22.0,22.0,22.0,23.0,23.0,23.0,24.0,25.0,,,,
48,21,22.0,22.0,22.0,22.0,22.0,23.0,23.0,24.0,24.0,,,,
47,21,21.0,21.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,25.0,,,
46,21,21.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,,,
45,21,21.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,,
44,20,21.0,21.0,21.0,21.0,21.0,22.0,22.0,23.0,23.0,24.0,24.0,,
43,20,20.0,20.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0,24.0,,
42,20,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,25.0,
41,20,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,23.0,23.0,24.0,
40,20,20.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,23.0,24.0,25.0
39,19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,23.0,24.0
38,19,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,23.0,24.0
37,18,19.0,19.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,23.0,23.0
36,18,18.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,23.0
35,18,18.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0
34,17,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0
33,17,17.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0
32,17,17.0,17.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0
31,16,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0
30,16,16.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0
29,16,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0
28,15,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0
27,15,15.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,20.0
